Cement,Bag,390,390,9
Stone (coarse agg),Cum,400,400,9
Sand(fine agg),Cum,700,700,9
tmt Steel,quintal,3500,3500,9
Bamboo 25mm,Rmt,25,25,5
Oil Paint,litre,300,300,7
Primer,litre,180,180,6
Water,1000 litre,38,38,5
Brick,no,8,8,8
Super Plasticizer ,kg,110,110,1
Admixture,kg,82,82,7
Aldrops 30 cm,no,125,125,1
Binding wire,kg,68,68,3
Brushes,no,72,72,1
Butt hinges iron 125mm,no,38,38,2
Copper Plate,kg,585,585,2
Curing compound,litre,138,138,1.5
Empty Cement Bag,no,10,10,0
First Aid kit,no,250,250,0
Hand gloves,pair,238,238,1
Hand screen,no,275,275,1
Handle iron 125mm,no,38,38,1
kerosene,litre,32,32,2
Latches 250mm,no,45,45,0
Manila rope,kg,235,235,5
Nails 4cm,kg,68,68,0
non teak wood,Cum,40000,40000,3
plumbob,no,100,100,0
spirit level 150mm,no,120,120,0
safety helmet,no,250,250,0
saftey shoes,pair,1444,1444,0
tiles,Sqm,850,850,4
glass 3mm thick,Sqm,30,30,7
brick powder,Cum,2260,2260,2.5
polishing stone,lump sum,550,550,0
"glazed tiles (6""x 6"")",piece,22,22,3.5
A.C sheets,Sqm,800,800,4
lime,Cum,16500,16500,6
white cement,kg,320,320,7.5
"mosaic tiles (10"" x 10"")",Sqm,1600,1600,5
RUBBLE,CUM,1200,1200,8
IMPERMO,KG,250,250,7
POLISH ,LITRE,300,300,5
HOLD FAST,NOS,75,75,5
teak wood,Cum,9000,9000,5
barbender,Day,428,0,0
bhisti,Day,428,0,0
civil engineer,Day,912,0,0
civil engineer assistant,Day,564,0,0
carpenter,Day,455,0,0
electrician,Day,455,0,0
fitter,Day,455,0,0
fitter for shuttering,Day,455,0,0
mason,Day,455,0,0
mazdoor(heavy),Day,428,0,0
mazdoor(light),Day,409,0,0
meassurement  clerk,Day,455,0,0
mechanic,Day,455,0,0
mistri,Day,455,0,0
painter,Day,455,0,0
semiskilled mazdoor,Day,428,0,0
skilled mazdoor,Day,455,0,0
unskilled mazdoor,Day,409,0,0
surveyor,Day,536,0,0
welder,Day,455,0,0
grinder,Day,428,0,0
POLISHER,Day,200,0,0
